last_updated,name,ticker_symbol
,2U,TWOU
,Adobe,ADBE
,AppFolio,APPF
,Atlassian,TEAM
,BlackLine,BL
,Coupa Software,COUP
,DocuSign,DOCU
,Dropbox,DBX
,Everbridge,EVBG
,Five9,FIVN
,Box,BOX
,HubSpot,HUBS
,Mimecast,MIME
,New Relic,NEWR
,Okta,OKTA
,Paycom Software,PAYC
,Paylocity,PCTY
,Paypal,PYPL
,Proofpoint,PFPT
,Q2,QTWO
,Qualys,QLYS
,RealPage,RP
,Ringcentral,RNG
,Salesforce.com,CRM
,ServiceNow,NOW
,Shopify,SHOP
,Smartsheet,SMAR
,Square,SQ
,Twilio,TWLO
,Veeva Systems,VEEV
,Wix.com,WIX
,Workday,WDAY
,Yext,YEXT
,Zendesk,ZEN
,Zscaler,ZS
,Zuora,ZUO
,Avalara,AVLR
,Domo,DOMO
,Elastic,ESTC
,Anaplan,PLAN
,Pluralsight,PS
,Tenable,TENB
,Workiva,WK
,PagerDuty,PD
,Zoom,ZM
,Crowdstrike,CRWD
,Datadog,DDOG
,Fastly,FSLY
,Medallia,MDLA
,Cloudflare,NET
,Slack,WORK
,Bill.com,BILL
,Sprout Social,SPT
,SurveyMonkey,SVMK
